FlyBaseID,Control_rep1.norm,Control_rep2.norm,Control_rep3.norm,U2af38_rep1.norm,U2af38_rep2.norm,U2af38_rep3.norm,SRPK_rep1.norm,SRPK_rep2.norm,SRPK_rep3.norm
FBgn0040066,506.125,505.3356,450.7444,769.8668,715.2567,751.3328,503.7361,524.1067,510.9864
FBgn0001404,1057.76,1182.767,927.3419,1142.4866,1123.8375,1045.561,1334.2492,1259.5298,1079.3029
FBgn0040336,37.2354,40.6772,51.7063,47.1129,49.9911,47.2867,53.1963,39.7526,42.3745
FBgn0040333,1358.401,1123.3158,1390.4508,2903.8648,2916.7861,2943.3329,1991.0602,1776.3136,1914.3294
FBgn0040334,111.7061,87.6124,74.1874,146.6923,185.5437,187.0451,102.05,89.9664,89.7342
FBgn0029629,799.8706,747.8342,768.8507,1005.4311,1029.6236,932.0729,875.0243,842.1275,853.7211
FBgn0011566,133.7715,82.9189,101.1646,153.1168,128.8231,172.3337,103.1356,106.7044,73.5322
FBgn0011606,10572.0832,10488.4524,11900.3254,11240.6979,11782.5085,12486.8352,10673.9936,11761.5394,12724.8066
FBgn0040375,279.9547,255.0146,284.3848,441.1476,436.4604,424.5293,364.7744,388.1109,411.2817
FBgn0040377,394.419,422.4168,365.3165,207.7248,218.2302,245.8907,453.7967,432.048,431.2226
FBgn0040388,297.8829,298.8208,249.5393,308.375,298.0236,324.7018,254.0393,291.8678,256.7395
FBgn0003714,302.0201,287.8692,290.0051,400.4592,350.8988,327.8543,374.5451,303.3751,301.6066
FBgn0001150,0,0,2.2481,24.6272,22.1114,26.2704,2.1713,2.0922,2.4926
FBgn0052797,175.1441,132.9831,155.119,184.1684,193.2347,176.5369,183.4728,137.0419,124.6308
FBgn0040385,0,0,0,26.7687,21.1501,27.3212,0,0,1.2463
FBgn0003371,6492.743,6628.8146,6929.7729,2933.8457,3011.9614,3010.5851,5112.2697,5102.9787,5809.0425
FBgn0003068,158.595,151.7571,150.6228,222.7153,190.3506,204.9089,230.1553,227.0083,238.0449
FBgn0024993,422.0007,342.627,370.9368,509.6754,507.6015,444.4948,454.8824,478.0773,463.6266
FBgn0024996,581.9748,480.3035,500.2026,513.9584,570.0904,527.5092,704.5791,617.2114,596.9816
FBgn0024997,39.9935,31.2901,23.6051,40.6884,49.0297,58.8456,45.5968,42.891,44.8671
FBgn0024991,1442.5253,1306.363,1400.5672,1214.2266,1138.258,1141.1851,1667.5401,1582.7812,1643.8805
FBgn0000928,442.687,449.0134,430.5114,407.9545,351.8602,338.3624,553.6754,545.0291,567.0702
FBgn0000927,11.0327,12.5161,10.1165,24.6272,18.266,16.813,8.6851,17.7841,14.9557
FBgn0000520,78.608,92.3059,64.0709,61.0326,77.8707,80.9128,82.5085,96.2431,100.951
FBgn0024975,252.373,251.8856,224.8102,397.247,304.7532,339.4133,272.4952,273.0376,297.8677
FBgn0040356,1602.4994,1562.9421,1662.4711,1439.0834,1506.4614,1602.4929,1439.5561,1551.3976,1547.9148
FBgn0003996,547.4977,650.8348,601.3672,792.3525,894.0709,1105.4574,790.3445,787.7292,844.997
FBgn0040384,1530.7869,1587.9742,1578.1673,860.8803,877.7277,918.4123,1376.5891,1240.6996,1293.6679
FBgn0024980,639.8965,669.6088,686.795,558.9297,524.9061,479.1717,731.7201,687.3016,749.0312
FBgn0000376,143.4251,187.7408,132.638,390.8225,371.0875,381.4459,187.8154,191.4402,205.6409
FBgn0024973,968.1193,944.962,998.1571,543.9393,536.4425,486.5274,1019.4142,1058.6745,1050.6378
FBgn0024998,260.6475,226.8535,260.7798,292.3138,327.826,329.9559,387.5728,353.5889,307.8381
FBgn0024995,435.7916,392.6912,408.0304,55.6788,55.7593,59.8965,464.6531,451.9243,363.922
